Tittle,Название,Категория,Состав,Метод,Теги,Фото,Фото-ссылка
,"Сироп ""Чайный"" ",Заготовка,"Сахар-песок 200 гр
Вода фильтр 300 мл
Чай ""Молочный улун"" 6 гр
Лимонная кислота 2 гр","Воду и сахар смешать, чтобы получился САХАРНЫЙ СИРОП. Смешать в вакуумном пакете: ЧАЙ МОЛОЧНЫЙ УЛУН и САХАРНЫЙ СИРОП (без кислоты). Запаять пакет, с помощью вакууматора на режиме""2""; (лучше 2 раза, чтоыб не протёк). Положить на противень и убрать в холодильник на ~20 часов. По окончании времени достать, отфильтровать, добавить ЛИМОННУЮ КИСЛОТУ (размешать) и перелить в стекляную бутылку. Убрать в холодильник на 2 часа.",Полуфабрикат Заготовка,,
,"Холодный Чай ""Жасмин"" ",Заготовка,"Вода фильтрованная 750 мл.
Чай ""Молихуа"" 16 гр.","В вакуумный пакет добавить все ингредиенты и запаять, на режиме вакууматора ""2"" (можно пару раз, чтобы крепко). Положить вакуумный пакет на противень и убрать на 20-24 часа в холодильник. После, отфильтровать мелким сито в бутылку.",КолдБрю Заготовка,,
,"Холодный чай ""Улун"" ",Заготовка,"Вода фильтр. 750 мл.
Чай ""Молочный Улун"" 18 гр.","Все ингредиенты добавить в вакуумный пакет (откачать воздух и запаять, с помощью вакууматора на режиме ""2""). Положить на кухонный противень и убрать в холодильник на 20-24 часа. По окончании времени достать, отфильтровать и перелить в стекляную бутылку. Срок годности: 1 месяц.",КолдБрю Заготовка,,
,"Чай ""Бабушкин взвар""",Лимонад,"Яблочные чипсы (сухофрукты) 12 гр.
Тимьян 1 гр.
Чай с чабрецом 3 гр.
Мёд 25 гр.
Имбирь 20 гр.
Лимон 10 гр.","В чайник добавить Чай с чабрецом и Сухофрукты, залить кипятком на 1/3 чайника. Добавить оставшиеся ингредиенты и долить китяток дополна. Размешать.",Авторский Согревающий Чай,,
,"Чай ""Груша-Мята""",Лимонад,"Чай ""Фудин"" 3 гр.
Груша свеж. 60 гр.
Сироп ""Груша"" Монин 30 мл.
Яблоко свеж. 30 гр.
Мята 2 гр.",Все ингредиенты добавить в чайник и залить кипятком. Размешать.,Авторский Согревающий Чай,IMG_7451.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7451_GKD1f.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=b8e2e0de0338cdc89c88bb3a4e29b9ddb47a89f6556e9bd7130a79e4bfa8109b&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7451.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7451_GKD1f.jpeg
,"Чай ""Зимний рубин""",Лимонад,"Чай ""Гибискус"" барный 3 гр.
Клюква с/м 30 гр.
Сироп ""Рябина"" п/ф 50 мл.
Корица палочка 4 гр.
Бадьян 3 гр.
Апельсин 20 гр.","Все ингредиенты добавить в чайник, налить сначало немного кипятка и размять клюкву. Потом долить кипяток дополна. Размешать.",Авторский Согревающий Чай,IMG_7452.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7452_4LS6G.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=93d481866ff1d90d0bcec2316ee93da8f44fe08c27a7ed49016e9a9452ab62c4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7452.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7452_4LS6G.jpeg
,"Чай ""Имбирь и Облепиха""",Лимонад,"Облепиха с/м 80 гр.
Мёд 40 гр.
Мята 3 гр.
Фреш Апельсина 50 мл.
Имбирь 30 гр.","В чайник добавить облепиху и немного кипятка, размять ягоду. Добавить оставшиеся ингредиенты. Размешать.",Авторский Согревающий Чай,,
,"Чай ""Марокканский""",Лимонад,"Чай ""Фудин"" 4 гр.
Лайм 50 гр.
Лимон 20 гр.
Кардамон 4 зерна
Гвоздика 5 шт.
Мята 5 гр.",Все ингредиенты добавить в чайник и залить кипятком. Размешать.,Авторский Согревающий Чай,,
,"Чай ""Таёжный с Малиной""",Лимонад,"Чай ""Таёжный"" 3 гр.
Малина с/м 60 гр.
Сироп ""Малина"" 30 мл.",Все ингредиенты добавить в чайник и залить кипятком. Размешать.,Авторский Согревающий Чай,IMG_7444.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7444_ItvtJ.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=ef5d7401bb2080118abb8f9683ed500a45c33c19d8ed0ce891e8ebb10d6568e4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7444.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7444_ItvtJ.jpeg
,Gin Basil,Коктейль,"Джин ""Барристер"" 60 мл
Сок лимона 20 мл
Сироп ""Базилик"" 20 мл
Базилик свежий 1 лист",В шейкер добавить все ингредиенты. Шейкуем со льдом. В бокал со льдом перелить с помощью сито и стрейнера. Украсить листиком базилика сверху.,Сливочный Травянистый Джин,IMG_7415.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7415_xwRyW.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=a9a915ab0dabf381709ead5d371df46bc394f8ff6c7824e65fee6bb0e9b6c903&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7415.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7415_xwRyW.jpeg
,Jasmin,Коктейль,"Ликер ""Кампари"" 10 мл
Ликер ""Трипл Сек"" 10 мл
Джин ""Барристер"" 40 мл
Сок лимона 25 мл
Сахарный Сироп 10 мл
Цедра Апельсина (украшение) 3 гр",В шейкер со льдом добавить все ингредиенты и шейкуем. Перелить в бокал со льдом с помощью сито и стрейнера. Сверху на коктейль украсить цедрой апельсина.,Терпкий Грейпфрут Необычный,,
,Popcorn Sour,Коктейль,"Ром ""Гавана клаб Аньехо"" 30 мл
Сироп ""Попкорн"" 15 мл
Сок Лимона 20 мл
Пенообразователь 3 капли",В шейкер (без льда) добавить все ингредиенты. Интенсивно шейкуем на протяжении ~10 сек.. Добавить в шейкер лёд и шейкуем со льдом. Перелить в бокал с помощью Стрейнера и Сито. Будет воздушным с пенкой.,Авторский Десертный Сауэр,,
,Tea Collins,Коктейль,"Джин ""Барристер"" 50 мл
Сок Лимона 20 мл
Сироп ""Чайный"" п/ф 40 мл
Вода Бонаква газ. 150 мл
Мята (украшение) 1 веточка","Все ингредиенты, кроме Бонаквы шейкуем, с помощью сито переливаем в бокал на лёд. Долить Бонаквой, размешать. Украситьветочкой мяты.",Авторский Мягкий Коллинз,,
,Лонг-Айленд,Коктейль,"Джин ""Барристер"" 10 мл
Ром ""Гавана клаб Аньехо"" 10 мл
Текила ""Дон Рамон Сильвер"" 10 мл
Водка ""Тундра Нордик"" 10 мл
Ликер ""Трипл сек"" 10 мл
Лимон (украшение) 1 долька
Добрый Кока-Кола 120 мл","Бокал наполнить льдом, добавить алкоголь и лимон, долить Колой. Перемешать.",Новая_Классика Крепкий,,
,Бульвардье,Коктейль,"Виски ""Йелоу Роуз Премиум"" 30 мл
Ликер ""Кампари"" 30 мл
Вермут ""Мартини Россо"" 30 мл
Цедра апельсина (украшение) 3 гр",Все ингредиенты наливаем в СМЕСИТЕЛЬНЫЙ СТАКАН. Добавляем лёд на 1/3. Хорошо стируем 10-15 сек. Переливаем в бокал на 1/2 наполненый льдом. Украшаем цедрой.,Классика Негрони,,
,Дайкири,Коктейль,"Ром ""Гавана клаб Аньехо"" 60 мл
Сахарный сироп 20 мл
Сок лайма 25 мл
Лайм (украшение) 1 слайс",Все ингредиенты в шейкер. (С помощью СКВИЗЕРа можно выдавить сок из половины лайма). Шейкуем всё со льдом. Перелить с помощью сито и стрейнера и сверху положить слайс лайма (чтобы плавал!),КлассикаСвежий Кислый Сауэр,,
,Джин -Тоник,Коктейль,"Джин ""Босфорд"" 40 мл
Тоник ""Rich Tonic"" 120 мл
Слайс огурца (украшение) 2-3 кружка
Лайм 1 долька","Наполнить 2/3 бокала льдом. Налить все ингредиенты на лёд и перемешать, положить украшение (на выбор: слайсы огурцов или лайм) внутрь.","Крепкий Терпкий ",,
,Clover Леди,Коктейль,"Джин ""Барристер"" 60 мл
Сироп ""Малина"" 20 мл
Сироп ""Гренадин"" 10 мл
Сок Лимона 30 мл
Пенообразователь 4 капли
Сублимированная малина (украш.)","Шейкер заполнить льдом на 2/3 и налить джин, сиропы и сок лимона. Открыть шейкер и перелить жидкость в одну его половину, а из второй высыпать лёд и добавить в шейкер пенообразователь. Встряхнуть жидкость и пенообразователь без льда. После, перелить получившийся коктейль с помощью СТРЕЙНЕРА и СИТО в бокал чтобы он получился воздушным с пенкой. Посыпать пену малиной.",Классика Твист Малиновый Фирменный,IMG_7414.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7414_gR_Og.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=3d390b72a62fbfcfee810a3702531aebab34555d807bdf7c44a22074b49788e4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7414.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7414_gR_Og.jpeg
,Cream Coffee,Коктейль,"Ликер ""Бэйлис"" 30 мл
Водка ""ТУНДРА НОРДИК"" 30 мл
Ликер ""Фруко Кофейный"" 30 мл
Сливки 33% 40 мл","Бокал наполнить льдом. Добавить все игредиенты в Шейкер, засыпать лёд и шейкуем. ВЫСЫПАТЬ ЛЁД ИЗ БОКАЛА. Перелить коктейль из шейкера в бокал с помощью СТРЕЙНЕРА и СИТО.",Авторский Десертный Кремовый Сливочный,,
,HUGO,Коктейль,"Игристое ""Невская жемчужина"" брют 150 мл
Сироп ""Бузина"" 20 мл
Вода Бонаква газ. 50 мл
Лайм 4 дольки",В засыпать лёд и добавить все ингредиенты. Размешать.,hugo хьюго хуго,IMG_7412.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7412_HcPMS.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=10e2bf528d10bd15580b9f5121bc3639340bdae65dee8f4d8e9b3620a1ee4364&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7412.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7412_HcPMS.jpeg
,Апероль Спритц,Коктейль,"Ликер ""Апероль"" 50 мл
Игристое ""Невская жемчужина"" брют 120 мл
Вода Бонаква газ. 80 мл
Апельсин (украшение) 1 долька",Бокал наполнить льдом. Залить все ингредиенты и добавить дольку апельсина внутрь. Слегка размешать.,апероль спритц Aperol spritz,,
,Глинтвейн на вине (Красный/Белый),Коктейль,"Вино тетрапак (красное/белое) 175 мл
Мёд 20 гр
Апельсин 1 долька
Яблоко 1 долька
Приправа для глинтвейна 1 гр
Апельсин сушёный 1 слайс","В Питчер добавить вино, фрукты нарезанные кубиками, мёд и специю. Подогреть на Форсунке, перемешать дополнительно ложкой и перелить в бокал. Сверху положить Сушёный Апельсин.",глинтвейн вине красный белый,IMG_7468.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7468_pa4mP.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=9d9a89169adf03682739fba2bc73cd44c7ff49a57c891fa2cededfc8c73be21f&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7468.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7468_7_Lrr.jpeg
,Горький Персик,Коктейль,"Водка ""ТУНДРА НОРДИК"" 30 мл
Ликер ""Апероль"" 20 мл
Игристое ""Невская жемчужина"" брют 60 мл
Сок ""Персик"" 60 мл
Персик консервир. (украшение) 1 долька","Засыпать КУСКОВОЙ ЛЁД на 2/3 бокала. Налить Апероль, водку, игристое и сок. Размешать. Досыпать в бокал КОЛОТЫЙ ЛЁД до краёв. Украсить 1 долькой персика на лёд.",горький персик,,
,Джон Колинз,Коктейль,"Джин ""Барристер"" 40 мл
Вода Бонаква газ. 150 мл
Сахарный сироп 20 мл
Сок Лимона 15 мл
Лимон (украшение) 1 долька","Бокал заполнить льдом. Все ингредиенты налить в бокал и долить Бонаквой доверху, украсить долькой лимона в бокал.",Классика Кислый Освежающий,1a3ce21c-4be5-46dc-a5df-e62521b0e4d1.jpg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/1a3ce21c-4be5-46dc-a5df-e62521b0e4d1_sUa2b.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=a5a3868391a573228ef75210e56c8579afc70606444034bc55f63749343d0372&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%221a3ce21c-4be5-46dc-a5df-e62521b0e4d1.jpg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/1a3ce21c-4be5-46dc-a5df-e62521b0e4d1_sUa2b.jpg
,Ежевичная Люси,Коктейль,"Водка ""ТУНДРА НОРДИК"" 50 мл
Сироп ""Ежевика"" 25 мл
Сок Лимона 25 мл
Вода Бонаква газ. 150 мл","В Шейкер добавить сироп, сок лимона и водку, лёд и шейкуем. Из шейкера с помощью Стрейнера и Сито перелить в бокал со льдом коктейль и долить Бонакву газированную. Перемешать.",Простой Понятный Сладкий,IMG_7413.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7413_H7F3d.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=222d9d7817fcb54098170cb0202521234eeb821b4e8b9f5a28ee894dc3c3ffb4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7413.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7413_H7F3d.jpeg
,Кампари Тоник,Коктейль,"Ликер ""Кампари"" 40 мл
Тоник ""Rich Tonic"" 150 мл
Лайм 4 дольки","В бокал для красного вина засыпать лёд и добавить все ингредиенты. Размешать. Лайм можно надрезать поперёк, чтобы дал сок",Спритц Тоник Свежий,,
,Клубничный Мохито,Коктейль,"Лайм 50 гр
Сироп ""Клубника"" 40 мл
Мята 5 гр
Вода Бонаква газ. 150 мл
Ром ""Гавана клаб Аньехо"" 60 мл
Клубника с/м 3 слайса","В бокале потолочь лайм и клубничный сироп. Добавить мяту и колотый лед, налить Ром и долить сверху Бонакву газированную. Размешать. Украсить тремя слайсами клубники на лёд (можно слегка разморозить форсункой).",Ягодный Свежий Летний,,
,Лонг-Айленд,Коктейль,"Джин ""Барристер"" 10 мл
Ром ""Гавана клаб Аньехо"" 10 мл
Текила ""Ольмека Бланко"" 10 мл
Водка ""ТУНДРА НОРДИК"" 10 мл
Ликер ""Трипл сек"" 10 мл
Лимон (украшение) 1 долька
Добрый Кока-Кола 120 мл","Бокал наполнить льдом, добавить алкоголь и лимон, долить Колой. Перемешать.",Новая_Классика Крепкий,,
,Мохито,Коктейль,"Лайм 50 гр
Сахарный сироп 40 мл
Мята 5 гр
Вода Бонаква газ. 150 мл
Ром ""Гавана клаб Аньехо"" 60 мл","В бокале потолочь лайм и сахар.сироп. Добавить мяту и колотый лёд, налить Ром и долить сверху Бонакву газированную. Размешать. Украсить долькой лайма на лёд.",Классика Свежий Ром,IMG_7469.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7469_b78Ku.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=65ab04cedb9b2b739d9190872a97db9a0b166d0ae5bf6f3cef5e66723b087573&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7469.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7469_b78Ku.jpeg
,Негрони,Коктейль,"Вермут ""Мартини Россо"" 30 мл
Ликер ""Кампари"" 30 мл
Джин ""Барристер"" 30 мл
Апельсин (украшение) 1 долька",Все ингредиенты наливаем в СМЕСИТЕЛЬНЫЙ СТАКАН. Добавляем лёд на 1/3. Хорошо стируем 10-15 сек. Переливаем в бокал на 1/2 наполненый льдом. Украшаем долькой апельсина в бокал.,Исторический Классика,,
