Название,Описание,Граммовка,Фотка,Фото-ссылка,Состав,Теги
Карпаччо из мраморной говядины,"Тонко нарезанные ломтики сырой говяжьей вырезки с бальзамиком и горчичным соусами, каперсами и красным луком. Декорируется рукколой.",110 гр.,,,,карпаччо карпачо мраморной мраморный говядины говядина
Мясная тарелка домашних деликатесов,"Пастрами из говядины, буженина, вяленый свиной окорок, копченое куриное филе, рулет из рульки, маринованный дайкон (редька). Соус огуречно-горчичный и маринованный огурец.

 <br>

 **Пастрами** — это знаменитый мясной деликатес из сочного маринованного, копченого и затем вареного или запеченного мяса.",200/70/40 гр.,,,,мясная тарелка домашних  деликатесов
Ассорти сибирских сыров,"Моцарелла, чеддер, голландский сыр, пармезан и дор блю. Декорируется грецким орехом, подается с чипсами из лаваша и медом.",210 гр.,,,,ассорти асорти сибирских сыров сыр
Форшмак из сельди на бородинском хлебе,"Закуска из рубленой сельди с яблоками, луком, яйцом, горчицей, лимонным соком. Подается на тостах из бородинского хлеба, украшается перепелиным яйцом с имитацией черной икры и картофелем пай.",120 гр.,,,,форшмак сельди сельдь бородинском хлебе хлеб
Ростбиф с хрустящими чипсами,"Запеченная говядина, маринованная в оливковом масле и соевом соусе со специями (лук, кориандр). Подается с ржаными чесночными чипсами, маринованными огурцами и зеленью.",115/25 гр.,,,,ростбиф росбиф хрустящими хрустящий чипсами чипсом чипсам
Закуска из вяленой оленины с ржаными чесночными гренками,Домашняя вяленая оленина с ржаными чесночными гренками.,40/50 гр.,IMG_7459_Xy42V.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7459_Xy42V_AifDs.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=d75f9e3ae5e6f3f79613347313d6babc07899091698405a4eade6009999070fd&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7459_Xy42V.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7459_Xy42V.jpeg,,закуска вяленой вяленной вяленая вяленная оленины оленина ржаными чесночными гренками гренки
Вяленый свиной окорок,Вяленое мясо собственного производства!,50 гр.,IMG_7459_Xy42V.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7459_Xy42V_JXQU3.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=c7fb31f50f8d897964be42a5fa92a5dc3b70b9bcda9800f6a7f2a4e515fd32a9&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7459_Xy42V.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7459_Xy42V.jpeg,,вяленый вяленный свиной окорок мясо вяленное вяленое
Бастурма из цыпленка,"Вяленое куриное филе в специях, собственного производства!",50 гр.,IMG_7459_Xy42V.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7459_Xy42V_uF83l.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=ba6e47734cee9ebe1b538213ca2d906ef0447be5fc49c167115ce871ce6ef34d&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7459_Xy42V.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7459_Xy42V.jpeg,,бастурма цыпленка цыпленок мясо вяленое вяленное
Карпаччо из скумбрии по-Мурмански,Тонко нарезанные маринованные ломтики мурманской скумбрии с маринованным красным луком и черным перцем.,100 гр.,,,,карпаччо карпачо скумбрии скумбрия мурмански по
Паштет из печени цыпленка,"Нежный паштет из печени цыпленка (печень, лук, морковь, сливки, белое вино), подается с гренками из подового хлеба.",140/35 гр.,,,,"паштет печени печень цыпленка цыплёнка "
Сельдь с картофелем и луком,"Слабосоленая сельдь с отварным картофелем и маринованным луком. Заправляется растительным маслом (специи, чеснок, винный уксус) и посыпается зеленью.",100/150 гр.,,,,сельдь селедка селёдка картофелем картофель луком лук
Фирменные закуски-намазки,"Паштет из телячьей печени, форшмак, крученое сало, сыр моцарелла с чесноком, подаются с бородинскими тостами.",140/40 гр.,IMG_7458_Iu-Lv.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7458_Iu-Lv__k1oY.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=ed950cbbb9382487f8b1be906b7f6e08308b34f1209424b1646e5acab805fe27&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7458_Iu-Lv.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7458_Iu-Lv.jpeg,,Фирменные закуски намазки намазка закуска фирменная
Ассорти арахиса к пиву,"Арахис в глазури трех видов: сыр, васаби и барбекю.","""90 гр.""

30 гр. - сыр

30 гр. - васаби

30 гр. - барбекю",,,,Ассорти асорти арахиса арахис пиву
Острые крылья,"Крылья в чернично-персиковой глазури. Украшеyные  кунжутом, зелёным луком и перцем чили.",150 гр.,,,,
Картофельные крокеты с беконом и соусом тар-тар,"5 шариков в панировке, обжаренные во фритюре с начинкой из картофельного пюре, бекона, лука и перца халапеньо. Подаются с соусом тар-тар.",150/40 гр.,,,,
Наггетсы из цыпленка с соусом тар-тар,Фирменные наггетсы. Подаются с соусом тар-тар.,145/40 гр.,,,,
Луковые кольца,Кольца обжаренные во фритюре. Подаются с соусом «Тар-тар».,100/40 гр.,,,,
Хрустящая мойва,"Панируется в японских сухарях с зелеными травами, обжаривается во фритюре. Подаётся в металлическом конусе с двумя видами соусов – томатный острый и сырно-сливочный с чесноком и зеленью.",180 гр.,,,,
Ассорти фирменных закусок,"Пивной хворост, наггетсы из цыпленка, острые крылья в чернично-персиковой глазури, хрустящая мойва, луковые кольца, перчики халапеньо, сыр копченый, чипсы из лаваша, картофельные крокеты, бородинские гренки и сырные палочки. Подаётся на большой деревянной доске с тремя видами соусов: томатный острый, сырно-сливочный с чесноком и зеленью и с острым соусом из мексиканского перца. Время приготовления 25–30 минут.",740 гр.,,,,
Перчики «Халапеньо»,Перчики фаршированные сыром Фета и обжаренные в панировочных сухарях во фритюре. Подаются сырно-чесночным соусом.,100 гр.,,,,
Гренки чесночные «Бородинские»,"Гренки из бородинского хлеба, натёртые чесноком. Подаются с сырно-чесночным соусом.",100 гр.,,,,
Гренки чесночные «Ржаные»,Гренки из серого хлеба с зубчиком чеснока. Подаются с сырно-чесночным соусом.,100 гр.,,,,
Сырные палочки,Обжаренные во фритюре сырные палочки из сыра Моцарелла. Подаются с сырно-чесночным соусом.,100 гр.,,,,
Острые креветки к пиву,"Креветки обжаренные в имбирно-чесночном миксе с добавлением соевого соуса и моркови. Подаётся с соусом «Барбекю» и лимоном. Украшение – перец чили, зелёный лук и кунжут.",150/40 гр.,,,,
Фламмкухен с беконом,"Блюдо эльзасской кухни. Горячая пицца на тонком тесте, промазывается сметаной, с сыром моцарелла, луком и беконом.",280 гр.,,,,
Фламмкухен с ростбифом,"Блюдо эльзасской кухни. Горячая пицца на тонком тесте, промазывается сметаной, с сыром моцарелла, маринованным ростбифом, луком порей, шампиньонами и томатами. Украшается рукколой.",240 гр.,,,,
Фламмкухен с пепперони,"Горячая пицца на тонком тесте, промазывается сметаной с добавлением соуса халапеньо, томатов, с сыром моцарелла, луком порей и салями пепперони. Украшается базиликом.",220 гр.,,,,
Фламмкухен с лососем,"Блюдо эльзасской кухни. Горячая  пицца на тонком тесте, промазывается сметаной и майонезом, запекается с сыром моцарелла и цукини. Сверху ломтики слабосоленого лосося и руккола.",240 гр.,,,,
"Мидии, запеченные с соусом спайси","Мидии фаршированные. В состав соуса входят: майонез, соус кисло-сладкий, перец халапеньо, икра летучей рыбы, сыр моцарелла.",180 гр.,,,,
Запеченные мозговые косточки,"Говяжьи мозговые косточки (2шт), запеченные под панировкой. Подаются с соусом «Сальса» и тостами из белого хлеба.",350/20 гр.,,,,
Хрустящая тюлька,"Морская мелкая рыба из семейства сельдевых, зажаренная до хрустящей корочки. Подается с соусом тар-тар и рубленным зеленым луком.",130/40 гр.,,,,
Лавачас с сыром и беконом,"Хрустящие чипсы из пшеничного лаваша, запечённые с сыром и беконом, украшаются перцем чили, зеленым луком и соусом сальса.",135 гр.,,,,
Хрустящий чизролл,"5 трубочек из хрустящего лаваша с начинкой из сыра Гауда и грецкого ореха. Оформляются сырным соусом, луковыми чипсами, паприкой и зеленью.",170 гр.,,,,
Хрустящая лапша с аджикой,"Жареная во фритюре домашняя лапша, подается с сырным соусом с добавлением аджики.",70/40 гр.,,,,
Тигровые креветки в сливочном соусе,"Очищенные тигровые креветки, обжаренные в сливочном соусе, с добавлением чеснока и томатов черри, подается с хрустящим подовым хлебом.",120/60/10 гр.,,,,
Салат с грушей и голубым сыром,"Микс листьев рукколы и салата фрилис, с карамелизованной грушей, апельсином конкассе, сыром дор блю, грецким орехом. Заправка – растительное масло, уксус бальзамический и сок лимона.

Конкассе - это кулинарный способ нарезки овощей (чаще всего помидоров) мелким кубиком без кожицы и семян.",220 гр.,,,,
Теплый салат с жареной свиной вырезкой,"Обжаренные ломтики свинины в кисло-сладком соусе, свежий огурец, красный лук, кинза, ростки сои.",225 гр.,,,,
Салат с хрустящими баклажанами и томатами,"Обжаренные ломтики баклажанов с томатами, болгарским перцем, красным луком и кинзой. Заправка в восточном стиле на основе сладкого чили, имбиря и чеснока.",220 гр.,,,,
Лионский салат с беконом и яйцом пашот,"Микс из листьев салата, ломтики обжаренного бекона, яйцо пашот, томаты черри, пармезан. Заправка из оливкового масла с лимонным соком.",185 гр.,,,,
Греко-салат с сыром фета,"Свежие огурцы, помидоры, болгарский перец, маслины, сыр фета, красный лук, петрушка, каперсы и базилик. Заправляется оливковым маслом, с добавлением лимонного сока и орегано.",280 гр.,,,,
"Салат с креветками, рукколой и гуакамоле","Микс из руколлы и романо, креветки обжаренные с чесноком, томаты черри. Соус гуакамоле (авокадо, сок лимона, специи). Заправляется соусом чили-лайт, на основе оливкового масла, сока лайма и кисло-сладкого соуса.",175 гр.,,,,
Куриный суп с домашней лапшой,"Куриный бульон с домашней лапшой, морковью, репчатым луком и яйцом. Посыпается зеленью.",350 гр.,,,,
Суп - гуляш в ржаной булке,"Густой мясной суп с овощами и говядиной. Подается со сметаной в хрустящей свежеиспеченной ржаной булке. Предупреждайте гостей, что он очень горячий!",300/150/40 гр.,,,,
Борщ,"Классический борщ из говядины, подается со сметаной и бородинскими гренками с крученым салом. 

Борщ убираем на лето и возвращаем осенью!",350/40 гр.,,,,
Окрошка с говядиной на домашнем квасе,"Картофель отварной, свежие огурцы, яйцо, редис, говядина отварная, зелень. Добавки: сметана, горчица и хрен.",100/250 гр.,,,,
Свиные рёбра,"Обжариваются и запекаются под фирменным соусом (апельсиновый сок, соевый соус, мед, приправа сумах, чеснок, соус чили, кетчуп). На гарнир – обжаренный картофель, домашнее лечо и перчики халапеньо. Украшение – хрен и зелень.",300/150/100 гр.,,,,
Свиная вырезка гриль с шампиньонами,"Три обжаренных и запеченных ломтика свинины, с гарниром из жаренных шампиньонов и перечным соусом на основе сливок и специй.",140/130 гр.,,,,
Рулька свиная,"Маринованная с можжевеловыми ягодами, кориандром, душистым перцем, чесноком, оливковым маслом, лавровым листом и запеченная до хрустящей корочки, промазывается медово-пивной глазурью. На гарнир – тушёная в пиве капуста и картофельный салат. Подаётся с горчицей.",600/200 гр.,,,,
Цыпленок с соусом «Терияки» с жаренным рисом и овощами,"Маринованные и обжаренные кусочки цыпленка под соусом «Терияки» с отварным рисом и обжаренными овощами – морковь, лук, капуста, чеснок, имбирь. Посыпается кунжутом и зеленым луком.",95/220/30 гр.,,,,
Свиная вырезка в китайском стиле,"Ломтики свинины, обжаренной в кисло-сладком соусе с овощами (морковь, болгарский перец, ростки сои, перец чили) и рисом. Кинза и кунжут.",300 гр.,,,,
Нюрнбергские колбаски с картофельным пюре и тушеной капустой,"Колбаска из куриного фарша, с соусом «ДемиГляс и BBQ». На гарнир тушеная капуста с беконом и картофельное пюре.",100/250 гр.,,,,
Колбаски карривурст с картофелем фри,"Колбаски из свинины в немецком стиле с приправой карри и соусом барбекю, на гарнир картофель фри.",150/140/60 гр.,,,,
Фирменные колбаски «BEERFACTORY» с красной капустой и картофельным пюре,"Сочные колбаски из рубленого фарша свинины и говядины, подаются с красной тушеной капустой, картофельным пюре и томатным соусом с добавлением карри.",120/200/40 гр.,,,,
Бургерfactory,"Булочка с кунжутом, котлета из говяжьего фарша, жареный бекон, огурцы маринованные, красный лук, сыр «Чеддер», лист салата, томаты, соус – майонез-горчица. Подаётся с картофелем фри и кетчупом.",300гр/150 гр.,,,,
Щучьи котлетки с картофельным пюре,"2 котлеты из щуки, обжаренные, подаются с картофельным пюре и сливочно-луковым соусом. Декорируются чипсами из лука, черной икрой (имитация) и зеленью.",170/150 гр.,,,,
Паста Карбонара,"Спагетти с беконом и сливочным соусом (сливки, чеснок, яйцо, сыр пармезан). Сверху посыпается тертым пармезаном и черным молотым перцем.",300 гр.,,,,
Тальятелле с разварной говядиной,Паста Тальятелле с разварной говядиной в сливочном соусе из белых грибов.,330 гр.,,,,
Пельмени домашние,"Традиционные отварные пельмени ручной лепки с начинкой из свинины и говядины, подаются со сметаной, горчицей, уксусом и сливочным маслом",250/40/30/25 гр.,,,,
Ассорти колбасок,"Колбаски Нюрнбергские (3–4шт), Купаты (2), колбаски Карривурст (3шт). На гарнир: капуста тушеная, красная капуста тушеная, картофельное пюре. Подается с соусами: «Ранч», острым томатным и горчично-огуречным.",390/450/120 гр.,,,,
Говядина гриль с фасолью романо,"Говяжья грудинка, обжаренная на гриле. Овощной гарнир с фасолью «Романо» (репчатый лук, чеснок, болгарский перец и морковь). Соус барбекю.",150/150 гр.,,,,
Тарт татен с шампиньонами и цыпленком,"В хрустящей пшеничной тортилье запекаются овощи (цукини, лук, чеснок, томаты), шампиньоны, копченое куриное филе, сливки и сыр сулугуни.",280 гр.,,,,
Оладьи из цыпленка с шампиньонами в сливочном соусе,"Нежные оладьи из мяса цыпленка, подаются с обжаренными шампиньонами, грибным соусом и салатом из рукколы.",110/60/10 гр.,,,,
Бифштекс из говядины с соусом Чеддер,Сочный Бифштекс из говяжьего фарша с картофелем фри и соусом из сыра чеддер.,180/100/60 гр.,,,,
Мурманская камбала с зеленой фасолью и томатами черри,"Обжаренные ломтики камбалы с гарниром из фасоли, чеснока, томатов черри.",250/100 гр.,,,,
Картофель фри,Классический картофель фри. Подаётся с кетчупом.,100 гр.,,,,
Картофельное пюре,Картофельное пюре.,150 гр.,,,,
Картофельные дольки,Картофельные дольки.,150 гр.,,,,
Картофель фри с сыром чеддер,Картофель фри под сливочным соусом с сыром чеддер.,160 гр.,,,,
Запечённый картофель,"Целый, запеченный в кожуре картофель со сметано-творожным кремом и зеленым луком.",180 гр.,,,,
Капуста тушеная с беконом,Тушеная капуста с беконом.,200 гр.,,,,
"Овощи, запеченные с моцареллой","Баклажаны, цукини, болгарский перец, лук, чеснок, тимьян, томаты запекаются с сыром моцарелла и зеленым маслом.",150 гр.,,,,
Фирменное сливочное мороженое с ржаным хлебом,"Оригинальный десерт собственного производства, сливочное мороженое с ржаной крошкой и изюмом.",100 гр.,,,,
Кайзершмаррн,"Австрийский сладкий десерт, нежные оладьи с изюмом. Подается со сгущенным молоком и сливовым вареньем. Посыпаются сахарной пудрой.",190/30 гр.,,,,
Шоколадный кекс с ванильным мороженым,"Горячий, свежеиспеченный кекс, с мягкой шоколадной начинкой. Подается с шариком мороженого, посыпается сахарной пудрой и украшается мятой.",180 гр.,,,,
"Торт домашний ""Наполеон""","Классический ""Наполеон"" собственного производства. Слоеные коржи с прослойкой из сливочного крема ""Патисьер"" и карамельным соусом.",180/25 гр.,,,,
Яблочный штрудель с мороженым и ванильным кремом,"Традиционный австрийский десерт с яблоками и изюмом, подаётся с ванильным соусом и сливочным мороженым.",165/50/40 гр.,,,,
"Соус ""Сырно-сливочный"" с чесноком и зеленью","Сыр фета, сметана, плавленый сыр, чеснок, укроп.",40 гр.,,,,
"Соус ""Томатный"" острый","Прокрученные томаты, чеснок, кориандр, тмин, красный перец, мед.",40 гр.,,,,
Соус «Тар-тар»,"Яйца, майонез, огурцы маринованные, яблочный уксус, петрушка.",40 гр.,,,,
"Соус ""Халапеньо""","Майонез, чеснок, халапеньо.",40 гр.,,,,
Соус «Сальса»,"Помидоры конкасе (очищенные от кожицы), красный лук, перец чили, кинза, чеснок.",40 гр.,,,,
Соус «Барбекю»,"Томаты в собственном соку, кетчуп, копчёная паприка, перец чили, мята.",40 гр.,,,,
"Соус ""Горчица""","Рассол собственного приготовления, горчичный порошок.",40 гр.,,,,
Соус «Ранч»,"Сметана, зелень, майонез, лук, чеснок.",40 гр.,,,,
Соус «Демигляс»,"Соус на основе концентрированного мясного бульона, выпаренного с овощами.",40 гр.,,,,
Домашнее лечо,"Лук, морковь, помидоры, болгарский перец, томатная паста, чеснок.",100 гр.,,,,
Томаты по-каталонски,"Легкая закуска-намазка из томатов в собственном соку с базиликом, чесноком и специями. Подается с поджаренным подовым (белым) хлебом.",150/70 гр.,намазки.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D0%B0%D0%BC%D0%B0%D0%B7%D0%BA%D0%B8_FYQYW.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=9af4a3ad5601d68e914aa088552023cd25c02e8c197a445634b707ebcc6ba10f&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BD%25D0%25B0%25D0%25BC%25D0%25B0%25D0%25B7%25D0%25BA%25D0%25B8.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D0%B0%D0%BC%D0%B0%D0%B7%D0%BA%D0%B8_FYQYW.png,,
Тунцовая с каперсами,намазка из (консервированного) тунца с варенным яйцом и каперсами. Подается с поджаренным подовым (белым) хлебом.,115/50 гр.,,https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D0%B0%D0%BC%D0%B0%D0%B7%D0%BA%D0%B8_FYQYW.png,,
Баклажанная с фетой,"Нежная намазка из баклажан с фетой, чесноком и базиликом. Подается с поджаренным подовым (белым) хлебом.",100/50 гр.,,https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D0%B0%D0%BC%D0%B0%D0%B7%D0%BA%D0%B8_FYQYW.png,,
Паштет из печени с инжирным вареньем,Классическая закуска из куриной печени с домашним инжирным вареньем. Подается с поджаренным подовым (белым) хлебом,160/50 гр.,паштет.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BF%D0%B0%D1%88%D1%82%D0%B5%D1%82_0Pe5N.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=b43db3185848938816bf7481e08c09b446cd86eddf3ecffcd7b21e60bcba7350&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BF%25D0%25B0%25D1%2588%25D1%2582%25D0%25B5%25D1%2582.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BF%D0%B0%D1%88%D1%82%D0%B5%D1%82_0Pe5N.png,,
